tweet_id,Source,Target,conversation_id,limitedTopics
315907250654965761,19402238,,315907250654965761,"[6, 8, 4, 5, 7, 2, 9, 1, 0, 3]"
316282795527905280,15198534,,316282795527905280,"[6, 8, 4, 5, 9, 7, 3, 0, 2, 1]"
316683501032308737,378703672,,316683501032308737,"[6, 8, 4, 5, 7, 3, 1, 2, 9, 0]"
318058139570286592,77270111,,318058139570286592,"[6, 8, 4, 5, 9, 7, 3, 1, 0, 2]"
319182564126494720,119802433,,319182564126494720,"[6, 8, 4, 5, 9, 7, 3, 1, 0, 2]"
319784010668724225,1489691,,319784010668724225,"[6, 8, 4, 5, 9, 7, 1, 3, 0, 2]"
319881387899514880,24230328,,319881387899514880,"[6, 4, 5, 9, 7, 3, 2, 8, 0, 1]"
320155696941379585,272495290,,320155696941379585,"[6, 4, 5, 7, 0, 9, 8, 3, 2, 1]"
321684385382428672,20884891,,321684385382428672,"[6, 8, 4, 5, 9, 7, 1, 2, 0, 3]"
323863535694258176,16564324,,323863535694258176,"[6, 8, 4, 5, 7, 3, 0, 1, 2, 9]"
323891002756706304,119802433,,323891002756706304,"[6, 8, 4, 5, 9, 7, 0, 1, 2, 3]"
324762177095495681,21638893,,324762177095495681,"[6, 8, 4, 5, 9, 7, 0, 2, 1, 3]"
326254008933175296,164257019,,326254008933175296,"[6, 8, 4, 5, 9, 7, 0, 2, 1, 3]"
327065056045039617,47101500,,327062438765813760,"[6, 4, 5, 9, 7, 0, 2, 1, 3, 8]"
327332413787230209,26788424,,327332413787230209,"[6, 4, 5, 7, 3, 9, 2, 1, 8, 0]"
328842490553716736,534563976,,328842490553716736,"[6, 4, 5, 9, 7, 3, 2, 8, 1, 0]"
329748821838016512,768632,,329748821838016512,"[6, 4, 5, 9, 7, 3, 2, 1, 0, 8]"
331845680068968450,14813827,,331845680068968450,"[6, 8, 4, 5, 7, 3, 9, 1, 0, 2]"
332133369158721539,30912815,,332133369158721539,"[6, 8, 4, 5, 9, 7, 0, 2, 3, 1]"
332763643643056128,38254620,,332763643643056128,"[6, 4, 5, 7, 3, 9, 8, 2, 0, 1]"
332912006950707201,143491086,,332912006950707201,"[6, 8, 4, 5, 9, 7, 1, 2, 3, 0]"
337212225766961152,26790171,,337212225766961152,"[6, 4, 5, 9, 7, 0, 8, 2, 1, 3]"
337240978152910848,23833641,,337240978152910848,"[6, 8, 4, 5, 7, 0, 2, 9, 1, 3]"
337962628498460673,259165023,,337962628498460673,"[6, 8, 4, 9, 3, 0, 7, 5, 2, 1]"
339857065977708544,119802433,,339857065977708544,"[6, 8, 5, 9, 7, 0, 4, 1, 2, 3]"
341838802853167104,473897988,,341815425052598272,"[6, 8, 5, 9, 7, 3, 0, 4, 2, 1]"
341923092458782722,346605991,,341923092458782722,"[6, 4, 7, 3, 5, 1, 9, 8, 2, 0]"
341937861366513665,491332318,,341937861366513665,"[6, 4, 5, 9, 7, 2, 8, 1, 3, 0]"
342159359029174272,114085514,,342159359029174272,"[6, 4, 5, 9, 7, 3, 8, 2, 1, 0]"
342891453049102336,70162470,,342891453049102336,"[6, 4, 9, 7, 3, 8, 2, 1, 0, 5]"
345957154357923840,131935861,,345957154357923840,"[6, 8, 4, 5, 9, 7, 3, 1, 2, 0]"
346713696376066050,137340182,,346713696376066050,"[6, 8, 5, 9, 7, 3, 4, 1, 2, 0]"
347755115924574208,310483039,,347755115924574208,"[6, 8, 4, 5, 9, 7, 0, 1, 2, 3]"
347755136917049345,310483039,,347755136917049345,"[6, 8, 4, 5, 9, 7, 0, 1, 2, 3]"
347823170306310144,131935861,,347823170306310144,"[6, 8, 4, 5, 9, 7, 3, 1, 2, 0]"
348788531122016256,131935861,,348788531122016256,"[6, 8, 4, 5, 9, 7, 3, 1, 2, 0]"
349201178963369984,198911524,,349201178963369984,"[6, 4, 5, 7, 0, 9, 1, 8, 3, 2]"
349201283263115264,267283568,,349201283263115264,"[6, 4, 5, 7, 0, 1, 9, 8, 2, 3]"
351002111812710400,37034483,,351002111812710400,"[6, 8, 4, 5, 7, 3, 2, 9, 0, 1]"
352424394796187648,124176132,,352424394796187648,"[6, 4, 5, 9, 7, 0, 2, 3, 1, 8]"
353476306136076290,38254620,,351868660522024961,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
353556427744362496,73224138,,353556427744362496,"[6, 8, 4, 5, 9, 7, 1, 2, 0, 3]"
353869511159578625,131935861,,353869511159578625,"[6, 8, 4, 5, 9, 7, 3, 1, 2, 0]"
354623874870161408,258996759,,354623874870161408,"[6, 8, 4, 5, 9, 7, 3, 1, 2, 0]"
356863251608383488,188352302,,356863251608383488,"[6, 4, 5, 9, 7, 3, 2, 0, 8, 1]"
357723315151974403,33158877,,357319442994180096,"[6, 8, 4, 9, 7, 3, 5, 2, 1, 0]"
359829859272368128,18865450,,359829859272368128,"[6, 8, 4, 5, 9, 7, 3, 1, 2, 0]"
362252263902810112,1099489045,,362252263902810112,"[6, 8, 4, 5, 9, 7, 0, 1, 2, 3]"
365124446098436097,36753271,,365124446098436097,"[6, 8, 4, 5, 9, 7, 3, 0, 2, 1]"
365468648573370372,32608975,,365351555433627649,"[6, 8, 5, 7, 4, 1, 3, 2, 9, 0]"
369850263005196288,17577115,,369850263005196288,"[6, 8, 4, 5, 9, 7, 3, 2, 0, 1]"
369854685823238144,14539324,,369854685823238144,"[6, 8, 4, 5, 9, 7, 3, 2, 0, 1]"
370597118953521153,14878174,,370597118953521153,"[6, 8, 5, 9, 7, 3, 4, 2, 1, 0]"
370600010498723840,56545992,,370600010498723840,"[6, 4, 5, 9, 7, 3, 0, 8, 1, 2]"
374931027174514689,564673621,,374930127580196865,"[6, 8, 4, 5, 9, 7, 3, 2, 0, 1]"
377239742548414464,15358348,,377239742548414464,"[6, 4, 5, 9, 7, 3, 8, 1, 0, 2]"
378150073395187712,224631899,,378150073395187712,"[6, 4, 5, 9, 3, 7, 2, 8, 1, 0]"
378371660186783745,22231438,,378371660186783745,"[6, 8, 4, 5, 9, 7, 2, 1, 3, 0]"
379941198154063872,573449737,,379941198154063872,"[6, 8, 4, 5, 9, 7, 0, 2, 3, 1]"
382174473731833856,267283568,,382174473731833856,"[6, 8, 4, 5, 9, 7, 2, 1, 0, 3]"
382530992226828288,14204663,,382530992226828288,"[6, 8, 5, 9, 7, 4, 2, 1, 0, 3]"
382568819346403328,14125488,,382568819346403328,"[6, 8, 4, 9, 7, 3, 2, 1, 0, 5]"
388195769179996160,380785929,,388195769179996160,"[6, 4, 9, 7, 3, 5, 2, 8, 1, 0]"
388407166001889280,106837822,,388407166001889280,"[6, 8, 4, 5, 9, 3, 2, 7, 1, 0]"
389852534946267137,38029388,,389852534946267137,"[6, 8, 4, 5, 9, 7, 1, 3, 2, 0]"
392590651042578432,44418062,,392590651042578432,"[6, 8, 4, 5, 9, 7, 2, 3, 1, 0]"
393379098313375744,22059787,,393379098313375744,"[6, 8, 4, 5, 9, 7, 2, 3, 1, 0]"
396461219986411520,765548,,396461219986411520,"[6, 8, 4, 5, 9, 7, 3, 1, 2, 0]"
397407336525860866,8634412,,397407336525860866,"[6, 8, 4, 5, 9, 7, 3, 1, 2, 0]"
400323858797842432,14878174,,400323858797842432,"[6, 8, 4, 5, 9, 7, 2, 0, 3, 1]"
402439898613153792,1925121408,,402439898613153792,"[6, 8, 5, 9, 7, 0, 1, 2, 3, 4]"
402574278203150336,989,,402571964226629633,"[6, 4, 9, 7, 3, 0, 2, 5, 1, 8]"
403974242321956865,17874756,,403974242321956865,"[6, 4, 9, 7, 2, 3, 5, 1, 8, 0]"
404989833887494146,15855041,,404989833887494146,"[6, 8, 4, 5, 9, 7, 0, 3, 1, 2]"
407555283914084352,19923638,,407555283914084352,"[6, 8, 4, 9, 7, 3, 5, 1, 2, 0]"
408995177898848256,12337072,,408995177898848256,"[6, 4, 5, 9, 7, 8, 2, 3, 0, 1]"
409035610465120257,226940811,,409035610465120257,"[6, 4, 5, 9, 7, 8, 2, 3, 1, 0]"
410120646593896448,15843638,,410120646593896448,"[6, 8, 4, 5, 9, 7, 3, 1, 2, 0]"
412600791707709441,29171457,,412600791707709441,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
413714152663040000,20884891,,413714152663040000,"[6, 4, 5, 9, 7, 3, 8, 2, 1, 0]"
414822159400181760,28585356,,414787978309804032,"[6, 8, 4, 9, 7, 5, 2, 0, 1, 3]"
417672319109455873,21328978,,417672319109455873,"[6, 4, 5, 9, 7, 0, 2, 8, 1, 3]"
419719117210267648,17890482,,419719117210267648,"[6, 8, 4, 5, 9, 7, 3, 0, 1, 2]"
420944004406996992,3650851,,420944004406996992,"[6, 8, 4, 5, 9, 7, 1, 2, 3, 0]"
421012258719006721,16712361,,421012258719006721,"[6, 8, 4, 5, 9, 7, 3, 2, 0, 1]"
426109908686483456,60642052,,426109908686483456,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
